score_2025,rank_2025,level,source_college,source_major_2025,match_status,match_count,official_college_code,official_college_name,official_major_code,official_major_name_2026,plan_num_2026,major_attr_2026,major_remark_2026,first_subject,reselect_subject,tuition,plan_id
678,399,985,南京大学,理科试验班类(数理科学类)(数学与应用数学、信息与计算科学、统计学、物理学、应用物理学、声学、天文学、大气科学、应用气象学),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
678,399,985,南京大学,技术科学试验班[智能科学与技术、集成电路设计与集成系统、数字经济、自动化(机器人方向)],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
678,399,985,哈尔滨工业大学,工科试验班(院士特色班)(通信工程、电子信息工程、信息对抗技术、智能科学与技术、自动化、智能装备与系统、飞行器设计与工程、复合材料与工程、工程力学、智能材料与结构、材料科学与工程、焊接技术与工程、飞行器制造工程、机器人工程、机械设计制造及其自动化、智能制造工程、仿生科学与工程),exact_school_major,1,0213,哈尔滨工业大学,08,工科试验班(院士特色班)(通信工程、电子信息工程、信息对抗技术、智能科学与技术、自动化、智能装备与系统、飞行器设计与工程、复合材料与工程、工程力学、智能材料与结构、材料科学与工程、焊接技术与工程、飞行器制造工程、机器人工程、机械设计制造及其自动化、智能制造工程、仿生科学与工程),13,,"(含永坦班、善义班、小卫星班、智能机器人班、尖端仪器班,院士担任班主任,相关领域内专业任选,一生一策,培养方式详见学校招生官网)",物理,化学,5500,1_3_0213_5_08
677,431,985,中国人民大学,统计学类(国民经济与数科创新人才班)(数据科学与大数据技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
677,431,985,北京大学医学部,基础医学(八年制本博连读),exact_school_major,1,9001,北京大学医学部,01,基础医学(八年制本博连读),3,,,物理,化学,6000,1_3_9001_5_01
677,431,985,北京理工大学,工科试验班(卓越班)(人工智能、机器人工程、数据科学与大数据技术、计算机科学与技术、智能制造工程、智能感知工程、网络空间安全),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
677,431,985,华中科技大学,电子信息类(未来技术实验班)(光电信息科学与工程、机器人工程、人工智能、生物医学工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
677,431,985,哈尔滨工业大学,工科试验班(未来技术拔尖班)(自动化、人工智能、计算机科学与技术、通信工程、电子信息工程、飞行器设计与工程、机器人工程、焊接技术与工程、电气工程及其自动化、复合材料与工程、智能材料与结构、集成电路设计与集成系统、微电子科学与工程、智能视觉工程、探测制导与控制技术、智能装备与系统、信息),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
677,431,985,哈尔滨工业大学,工科试验班(AI加先进技术领军班)(自动化、智能装备与系统、探测制导与控制技术、集成电路设计与集成系统、微电子科学与工程、智能视觉工程、通信工程、电子信息工程、信息对抗技术、智能科学与技术、电气工程及其自动化、能源互联网工程、统计学、计算机科学与技术、人工智能、信息安全、软件工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
677,431,985,哈尔滨工业大学,工科试验班(AI加先进技术领军班深圳拔尖班)(自动化、集成电路设计与集成系统、通信工程、电气工程及其自动化、计算机科学与技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
